CHAVEGERAL,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,CODREGIAO5,REGIAO5,CODREGIAO8,REGIAO8,TB_SUBSETOR,SUBSETOR,TB_SETOR,SETOR,ESTAB,EMPREGO,HOMEM,MULHER,BRANCA,PARDA,PRETA,AMARELA,INDÍGENA,RACANI,RACA_IGN,ANALF,EF1A5INCOMP,EF5COM,EF6A9INCOMP,EFCOM,EMINCOM,EMCOMP,ESINCOM,ESCOMP,MESTRADO,DOUTORADO,ATE17,18A24,25A29,30A39,40A49,50A64,65OUMAIS,"ATE0,50SM","0,51A1,00SM","1,01A1,50SM","1,51A2,00SM","2,01A3,00SM","3,01A4,00SM","4,01A5,01SM","5,00A7,00SM","7,01A10,00SM","10,01A15,00SM","15,01A20,00SM",MAISDE20SM,RENDAIG,CBO_GG_1,CBO_GG_2,CBO_GG_3,CBO_GG_4,CBO_GG_5,CBO_GG_6,CBO_GG_7,CBO_GG_8,CBO_GG_9,CBO_GG_IGN
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,14,SER UTIL PUB,3,SERV IND UP,3,8,5,3,6,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,1,1,1,3,2,0,0,0,0,2,0,0,1,2,2,0,0,0,1,1,0,0,7,0,0,0,0,0,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,15,CONSTR CIVIL,4,CONSTR CIVIL,69,"1,542","1,326",216,818,516,161,15,0,32,0,3,57,73,122,358,138,529,41,218,2,1,0,195,257,460,306,289,35,0,18,114,373,576,119,67,62,86,28,23,8,68,34,153,136,173,42,0,917,16,71,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,16,COM VAREJ,5,COMERCIO,"2,225","14,488","6,640","7,848","8,328","4,528",783,148,28,673,0,7,81,225,406,"1,424","1,585","9,483",425,843,9,0,154,"3,804","2,733","4,107","2,168","1,408",114,8,162,"4,482","5,022","2,793",876,351,307,121,76,24,89,177,"1,081",356,524,"3,907","7,348",2,940,227,102,1
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,17,COM ATACAD,5,COMERCIO,"1,056","7,340","3,707","3,633","4,331","2,158",373,91,13,374,0,0,39,72,208,640,733,"4,655",248,731,11,3,52,"1,680","1,393","2,274","1,187",675,79,1,38,"1,978","2,619","1,402",463,233,193,103,79,64,114,53,694,157,375,"2,714","2,860",11,463,30,36,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,18,INST FINANC,6,SERVICOS,247,"10,793","5,057","5,736","8,131","1,433",443,642,7,137,0,1,4,5,11,61,112,"2,234",747,"7,484",115,19,38,812,"1,458","4,157","2,514","1,726",88,19,70,513,673,805,"1,501","1,246","1,663","1,544","1,571",531,548,109,732,"2,358",996,"6,554",130,1,22,0,0,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,19,ADM TEC PROF,6,SERVICOS,"1,659","29,878","14,279","15,599","17,237","9,800","1,385",358,52,979,67,40,292,394,722,"1,009","1,896","14,014","2,735","8,646",106,24,364,"7,564","5,216","8,060","4,453","3,733",488,22,"1,515","9,117","5,200","4,665","2,259","1,348","1,899","1,412","1,113",455,438,435,"1,036","6,062","2,357","16,005","3,905",10,433,14,49,7
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,20,TRAN E COMUN,6,SERVICOS,271,"10,207","8,018","2,189","6,278","2,728",706,273,16,206,0,3,127,60,200,351,255,"5,888",509,"2,779",32,3,9,617,"1,235","2,709","2,616","2,852",169,44,18,319,551,683,"1,260","1,215","2,978","1,883",733,165,261,97,299,889,"3,351","1,108","1,485",0,"2,412",1,662,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,21,ALOJ COMUNIC,6,SERVICOS,875,"11,468","5,612","5,856","7,045","3,018",700,108,7,590,0,23,144,379,482,"1,854",996,"4,922",671,"1,959",33,5,99,"1,906","1,626","3,231","2,534","1,855",217,21,381,"3,647","2,745","1,928",843,474,549,390,200,67,64,159,579,"1,051",577,"3,193","5,611",26,240,151,40,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,22,MED ODON VET,6,SERVICOS,78,"1,085",278,807,817,134,99,7,0,28,0,1,4,4,21,41,23,546,78,363,1,3,1,165,176,411,240,90,2,0,14,173,163,232,244,92,102,51,2,0,1,11,74,213,356,285,151,0,4,0,2,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,23,ENSINO,6,SERVICOS,65,"2,514","1,147","1,367","1,651",382,136,30,15,64,236,0,9,16,22,65,117,664,154,"1,125",147,195,71,376,348,661,487,493,78,14,199,336,395,415,273,167,228,201,118,44,47,77,153,"1,002",283,803,249,0,22,0,2,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,25,AGRICULTURA,8,AGROPECUARIA,14,51,34,17,31,4,1,0,0,15,0,1,3,6,5,5,2,18,2,9,0,0,1,3,3,11,12,17,4,0,1,15,8,9,3,0,4,1,5,0,0,5,4,3,1,8,6,23,6,0,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,3,IND METALURG,2,IND TRANSF,4,21,18,3,12,7,2,0,0,0,0,0,0,0,0,0,9,11,0,1,0,0,0,8,3,8,1,1,0,0,0,4,11,5,0,0,1,0,0,0,0,0,0,0,3,5,1,0,10,0,2,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,4,IND MECANICA,2,IND TRANSF,1,14,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,6,2,2,2,2,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,5,ELET E COMUN,2,IND TRANSF,1,161,72,89,158,1,2,0,0,0,0,0,0,1,2,18,15,115,5,5,0,0,0,13,11,49,59,29,0,0,6,1,110,16,10,7,4,1,0,0,0,6,5,3,24,9,8,1,52,51,8,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,7,MAD E MOBIL,2,IND TRANSF,3,26,19,7,17,5,2,0,1,1,0,0,0,5,1,2,2,15,0,1,0,0,1,4,6,6,4,3,2,0,1,4,8,7,5,1,0,0,0,0,0,0,3,0,1,6,4,0,12,0,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,8,PAPEL E GRAF,2,IND TRANSF,16,433,202,231,329,37,24,4,2,37,0,0,0,2,9,15,15,169,37,161,19,6,1,44,36,114,100,124,14,0,4,36,35,72,68,49,43,52,22,4,15,33,21,126,84,129,52,0,21,0,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,9,BOR FUM COUR,2,IND TRANSF,15,111,71,40,42,23,3,0,0,43,0,0,2,2,3,8,9,62,4,21,0,0,0,19,17,33,25,17,0,0,0,26,29,31,8,7,6,2,0,0,1,1,7,11,17,10,10,0,44,10,2,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,10,IND QUIMICA,2,IND TRANSF,2,23,16,7,21,2,0,0,0,0,0,0,0,1,2,5,1,12,0,2,0,0,0,0,3,10,8,2,0,0,0,1,15,3,3,0,1,0,0,0,0,0,0,0,0,16,3,0,2,2,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,11,IND TEXTIL,2,IND TRANSF,12,58,15,43,45,9,2,0,0,2,0,0,0,2,2,8,4,35,1,6,0,0,0,4,6,17,18,12,1,0,0,19,16,8,7,4,1,2,0,0,0,1,9,4,3,4,16,0,22,0,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,13,ALIM E BEB,2,IND TRANSF,19,153,73,80,40,109,4,0,0,0,0,0,1,3,5,78,7,51,0,8,0,0,0,29,18,38,34,33,1,0,3,48,74,20,4,2,0,0,0,0,0,2,4,4,3,15,105,0,8,14,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,15,CONSTR CIVIL,4,CONSTR CIVIL,40,"1,157","1,009",148,539,426,108,7,2,75,0,8,192,45,129,156,63,371,50,143,0,0,0,103,153,363,270,249,19,0,5,54,335,390,121,62,56,53,28,8,10,35,14,79,75,171,90,1,702,8,17,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,16,COM VAREJ,5,COMERCIO,318,"1,994","1,026",968,"1,108",619,106,5,1,155,0,4,12,56,62,228,229,"1,157",86,159,1,0,14,478,329,557,340,246,30,4,27,514,665,423,126,52,37,16,11,1,1,117,153,62,85,417,"1,023",10,125,68,50,1
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,17,COM ATACAD,5,COMERCIO,48,309,145,164,190,92,21,4,0,2,0,0,2,2,3,18,13,186,17,66,0,2,0,39,47,95,65,57,6,0,3,41,66,67,52,34,20,13,2,2,3,6,60,17,45,92,84,0,11,0,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,18,INST FINANC,6,SERVICOS,67,"3,023","1,025","1,998","2,396",413,147,48,1,18,0,0,8,4,10,18,35,"1,139",305,"1,494",9,1,11,431,517,"1,046",617,368,33,1,43,381,325,598,348,289,339,215,171,94,188,31,321,838,230,"1,597",32,0,4,0,1,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,19,ADM TEC PROF,6,SERVICOS,673,"17,890","12,080","5,810","11,288","5,018","1,012",65,7,477,23,59,166,239,"1,091","1,995","1,021","10,209","1,010","2,033",62,5,64,"1,701","2,489","6,082","4,701","2,680",173,2,150,"2,183","4,250","8,458",991,432,497,332,160,39,41,355,288,"1,248",747,"3,481","11,671",6,409,5,34,1
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,20,TRAN E COMUN,6,SERVICOS,142,"3,857","2,983",874,"2,742",753,215,33,0,114,0,3,13,38,651,746,434,"1,321",136,508,5,2,10,291,436,"1,108",930,958,124,0,13,162,768,"1,021","1,307",77,118,105,91,49,102,44,95,225,227,313,"1,646",1,"1,204",0,146,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,21,ALOJ COMUNIC,6,SERVICOS,377,"5,378","2,724","2,654","3,080","1,443",391,40,2,422,0,15,114,160,305,787,538,"2,141",284,"1,006",9,19,156,868,668,"1,434","1,149",991,112,69,281,"1,381","1,257",990,530,251,271,133,72,36,26,81,272,574,417,"1,259","2,622",4,153,57,10,10
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,22,MED ODON VET,6,SERVICOS,48,339,75,264,176,123,22,5,0,13,0,0,1,5,3,7,9,228,19,67,0,0,1,65,58,115,67,30,3,0,11,70,82,114,21,13,16,5,1,0,2,4,5,34,83,161,54,0,2,0,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,23,ENSINO,6,SERVICOS,30,"1,171",631,540,298,98,34,4,2,460,275,0,3,3,12,18,12,251,63,781,23,5,1,50,105,371,313,307,24,2,33,82,91,115,145,103,146,144,171,62,70,7,40,480,184,367,58,9,30,0,3,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,25,AGRICULTURA,8,AGROPECUARIA,4,8,4,4,7,1,0,0,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,1,2,0,3,1,1,0,0,1,0,2,3,0,1,1,0,0,0,0,0,0,0,6,0,0,2,0,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,1,EXTR MINERAL,1,EXTR MINERAL,6,58,41,17,48,9,1,0,0,0,0,0,1,4,2,4,3,12,5,27,0,0,0,7,6,18,11,11,5,0,1,3,14,10,6,6,4,2,7,3,2,0,6,18,2,13,3,6,8,0,2,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,3,IND METALURG,2,IND TRANSF,7,167,103,64,125,26,3,4,0,9,0,0,4,3,2,7,5,40,4,97,5,0,0,13,22,67,39,23,3,0,0,10,19,24,7,5,12,19,33,15,18,5,26,30,36,25,15,0,30,0,5,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,4,IND MECANICA,2,IND TRANSF,6,178,162,16,127,31,10,0,4,6,0,0,0,5,4,6,1,113,6,43,0,0,2,11,30,69,31,33,2,1,4,4,12,46,34,16,20,21,9,3,3,5,10,20,33,27,5,0,81,0,2,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,5,ELET E COMUN,2,IND TRANSF,10,119,64,55,67,49,3,0,0,0,0,0,0,1,2,11,16,72,2,15,0,0,2,17,15,41,20,24,0,0,2,32,31,23,8,2,2,7,4,5,2,1,15,7,15,32,26,1,21,2,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,6,MAT TRANSP,2,IND TRANSF,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,7,MAD E MOBIL,2,IND TRANSF,3,34,23,11,30,4,0,0,0,0,0,0,0,0,2,11,3,15,1,2,0,0,0,2,5,6,15,6,0,0,0,1,5,14,11,0,0,1,1,0,0,1,1,1,2,7,6,0,17,0,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,8,PAPEL E GRAF,2,IND TRANSF,37,378,195,183,220,55,14,1,0,88,0,0,1,2,6,22,19,191,19,118,0,0,1,52,51,129,87,54,4,0,3,44,79,107,45,20,33,10,5,2,4,26,24,69,33,114,40,0,88,8,2,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,9,BOR FUM COUR,2,IND TRANSF,44,186,113,73,109,55,10,1,0,11,0,0,1,1,7,17,9,111,7,32,1,0,1,30,29,47,42,33,4,0,3,49,45,44,28,7,4,2,0,0,0,4,5,27,43,35,12,0,63,0,1,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,10,IND QUIMICA,2,IND TRANSF,9,79,50,29,54,17,4,0,0,4,0,0,1,2,5,4,4,40,6,17,0,0,0,7,13,26,19,10,4,0,0,13,11,20,20,9,5,1,0,0,0,0,4,6,7,35,17,0,10,0,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,11,IND TEXTIL,2,IND TRANSF,36,168,65,103,106,35,7,6,0,14,0,0,2,0,3,19,7,117,4,16,0,0,0,35,20,51,37,25,0,0,1,72,40,37,9,5,2,1,0,0,0,1,14,3,13,30,37,0,68,1,2,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,12,IND CALCADOS,2,IND TRANSF,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,13,ALIM E BEB,2,IND TRANSF,22,236,90,146,106,86,19,4,0,21,0,0,1,4,17,24,18,137,2,33,0,0,0,39,34,83,50,29,1,0,8,87,76,29,20,3,4,3,1,2,2,1,9,16,29,32,96,1,12,41,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,14,SER UTIL PUB,3,SERV IND UP,4,142,87,55,128,8,4,2,0,0,0,0,0,1,0,0,0,13,5,116,6,1,0,5,37,76,15,7,2,1,0,1,0,12,4,5,13,27,46,14,19,0,19,87,11,15,5,1,0,4,0,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,15,CONSTR CIVIL,4,CONSTR CIVIL,114,"3,978","3,524",454,"1,801","1,523",226,7,5,416,0,11,130,164,412,"1,055",211,"1,456",80,455,4,0,17,518,641,"1,114",851,749,88,17,30,310,975,"1,295",454,184,226,145,79,29,16,218,76,208,244,446,219,9,"2,500",15,261,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,16,COM VAREJ,5,COMERCIO,"1,941","11,788","6,398","5,390","7,162","3,331",671,61,12,551,0,3,65,215,235,846,"1,096","7,966",500,852,6,4,127,"3,227","2,182","3,268","1,725","1,158",101,6,147,"4,105","3,793","2,093",703,327,274,111,63,20,13,133,944,413,744,"3,567","4,998",8,773,173,168,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,17,COM ATACAD,5,COMERCIO,266,"2,500","1,461","1,039","1,602",585,136,33,0,144,0,2,10,16,47,123,171,"1,414",148,555,13,1,24,449,405,802,486,311,23,2,18,507,693,445,210,126,127,86,44,29,183,30,304,237,254,875,682,0,112,7,29,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,18,INST FINANC,6,SERVICOS,299,"7,423","2,939","4,484","5,206","1,518",294,153,14,238,0,1,5,10,14,53,124,"2,200",849,"4,131",35,1,21,"1,050","1,536","2,594","1,519",681,22,4,66,525,923,"1,385","1,170",874,892,686,492,176,157,73,800,"1,065","2,468","2,804",258,0,22,0,6,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,19,ADM TEC PROF,6,SERVICOS,"2,147","53,750","24,216","29,534","31,051","15,953","4,043",551,188,"1,902",62,98,428,464,983,"1,656","2,455","33,625","4,052","9,842",118,29,314,"15,064","10,899","14,999","7,239","4,734",501,67,"3,330","18,891","11,625","8,244","4,070","1,975","1,993","1,299",841,314,265,836,"1,420","5,511","5,511","29,977","8,071",58,"2,721",153,306,22
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,20,TRAN E COMUN,6,SERVICOS,418,"4,892","2,634","2,258","3,336","1,034",267,67,0,188,0,4,14,37,76,205,256,"2,138",518,"1,609",34,1,44,698,878,"1,679",965,584,44,3,77,535,992,"1,307",698,406,444,230,84,45,28,43,351,363,"1,195","1,714","1,006",1,249,5,7,1
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,21,ALOJ COMUNIC,6,SERVICOS,"1,086","18,722","8,014","10,708","9,959","5,846","1,161",102,20,838,796,53,494,559,"1,538","1,994","2,359","7,278","1,466","2,894",79,8,970,"4,942","1,795","3,849","3,369","3,406",391,68,"3,780","5,571","3,213","2,170",872,553,683,712,541,154,64,341,745,"1,559",753,"7,547","7,477",7,484,121,29,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,22,MED ODON VET,6,SERVICOS,148,"1,363",361,"1,002",768,255,67,11,18,56,188,1,2,5,11,40,51,666,91,480,10,6,7,191,204,395,257,268,41,20,28,393,246,225,89,47,31,44,81,46,99,14,49,302,152,687,140,0,6,0,1,26
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,23,ENSINO,6,SERVICOS,57,"2,281","1,346",935,"1,059",198,59,9,4,952,0,1,7,5,99,31,831,404,78,740,68,17,836,205,164,505,318,223,30,5,946,239,201,294,190,180,122,47,27,10,9,11,39,376,527,292,"1,025",1,16,1,4,0
3.55E+20,3.55E+12,66,REPUBLICA,9,SE,1,Centro,1,CENTRO,25,AGRICULTURA,8,AGROPECUARIA,7,23,13,10,14,8,0,0,0,1,0,0,1,2,1,1,0,10,1,7,0,0,0,0,2,1,8,10,2,0,0,2,1,5,2,4,0,3,4,0,2,0,2,7,0,2,3,3,6,0,0,0
3.55E+20,3.55E+12,9,BOM RETIRO,9,SE,1,Centro,1,CENTRO,2,MIN NAO MET,2,IND TRANSF,2,29,22,7,20,3,4,0,0,2,0,0,0,0,2,2,1,21,1,2,0,0,0,3,4,8,9,5,0,0,0,1,8,14,4,0,0,0,0,0,0,2,0,0,3,4,1,0,20,0,1,0
3.55E+20,3.55E+12,9,BOM RETIRO,9,SE,1,Centro,1,CENTRO,3,IND METALURG,2,IND TRANSF,12,55,41,14,26,23,3,0,0,3,0,0,0,2,4,7,4,35,2,1,0,0,0,6,9,9,14,15,2,0,0,7,15,19,3,3,2,0,0,0,0,6,3,0,4,5,2,0,30,4,7,0
3.55E+20,3.55E+12,9,BOM RETIRO,9,SE,1,Centro,1,CENTRO,4,IND MECANICA,2,IND TRANSF,31,486,407,79,346,102,29,2,1,6,0,0,2,5,14,37,55,296,31,46,0,0,0,49,64,148,111,100,14,0,2,41,152,127,67,34,27,10,4,0,1,21,21,9,143,89,32,0,169,5,18,0
3.55E+20,3.55E+12,9,BOM RETIRO,9,SE,1,Centro,1,CENTRO,5,ELET E COMUN,2,IND TRANSF,9,75,57,18,32,10,3,0,0,30,0,0,0,3,12,12,10,23,7,8,0,0,0,3,7,8,26,29,2,0,1,5,14,31,5,7,4,0,0,2,1,5,4,1,15,9,7,0,32,5,2,0
3.55E+20,3.55E+12,9,BOM RETIRO,9,SE,1,Centro,1,CENTRO,6,MAT TRANSP,2,IND TRANSF,1,7,5,2,3,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,2,3,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0
3.55E+20,3.55E+12,9,BOM RETIRO,9,SE,1,Centro,1,CENTRO,7,MAD E MOBIL,2,IND TRANSF,8,96,84,12,80,11,4,0,1,0,0,0,2,6,8,22,9,42,4,3,0,0,2,7,6,30,24,24,3,0,0,4,24,30,19,10,6,2,0,0,0,1,2,1,0,9,2,0,81,0,1,0
3.55E+20,3.55E+12,9,BOM RETIRO,9,SE,1,Centro,1,CENTRO,8,PAPEL E GRAF,2,IND TRANSF,42,540,314,226,397,91,32,11,0,9,0,1,2,13,13,40,33,259,42,137,0,0,1,54,76,166,126,109,8,1,7,57,104,124,72,33,51,33,20,8,17,13,24,68,35,162,63,0,160,28,0,0
3.55E+20,3.55E+12,9,BOM RETIRO,9,SE,1,Centro,1,CENTRO,9,BOR FUM COUR,2,IND TRANSF,19,278,171,107,184,57,22,2,0,13,0,0,1,5,11,33,27,170,19,11,1,0,1,34,37,85,64,49,8,1,1,48,70,103,38,5,7,1,0,0,0,4,11,4,25,45,28,0,127,33,5,0
3.55E+20,3.55E+12,9,BOM RETIRO,9,SE,1,Centro,1,CENTRO,10,IND QUIMICA,2,IND TRANSF,24,324,202,122,178,73,16,2,0,55,0,0,2,5,16,30,15,235,9,12,0,0,0,40,42,91,71,77,3,0,0,42,136,75,24,12,12,8,5,7,1,2,13,5,17,45,23,0,155,58,8,0
3.55E+20,3.55E+12,9,BOM RETIRO,9,SE,1,Centro,1,CENTRO,11,IND TEXTIL,2,IND TRANSF,"1,126","13,889","4,552","9,337","8,052","4,420",719,164,35,499,0,17,130,215,663,"1,634","1,283","8,578",402,946,20,1,56,"1,792","1,970","3,960","3,611","2,360",140,21,86,"4,243","4,791","2,728",830,390,342,137,58,17,16,230,751,396,"1,094","2,013","2,606",2,"6,895",59,57,16
